collection,test, qtd, time
ConcurrentHashMap,put,1,0
ConcurrentHashMap,put,2,0
ConcurrentHashMap,put,3,0
ConcurrentHashMap,put,10,0
ConcurrentHashMap,put,100,0
ConcurrentHashMap,put,1000,0
ConcurrentHashMap,put,10000,18
ConcurrentHashMap,put,100000,121
ConcurrentHashMap,put,1000000,793
ConcurrentHashMap,put,10000000,19378
ConcurrentHashMap,get,1,0
ConcurrentHashMap,get,2,0
ConcurrentHashMap,get,3,0
ConcurrentHashMap,get,10,0
ConcurrentHashMap,get,100,0
ConcurrentHashMap,get,1000,0
ConcurrentHashMap,get,10000,10
ConcurrentHashMap,get,100000,20
ConcurrentHashMap,get,1000000,10
ConcurrentHashMap,get,10000000,120
ConcurrentHashMap,remove,1,0
ConcurrentHashMap,remove,2,0
ConcurrentHashMap,remove,3,0
ConcurrentHashMap,remove,10,0
ConcurrentHashMap,remove,100,0
ConcurrentHashMap,remove,1000,0
ConcurrentHashMap,remove,10000,10
ConcurrentHashMap,remove,100000,15
ConcurrentHashMap,remove,1000000,17
ConcurrentHashMap,remove,10000000,168
SynchronizedMap,put,1,1
SynchronizedMap,put,2,1
SynchronizedMap,put,3,1
SynchronizedMap,put,10,32
SynchronizedMap,put,100,358
SynchronizedMap,put,1000,4
SynchronizedMap,put,10000,12
SynchronizedMap,put,100000,54
SynchronizedMap,put,1000000,477
SynchronizedMap,put,10000000,43312
SynchronizedMap,get,1,0
SynchronizedMap,get,2,0
SynchronizedMap,get,3,0
SynchronizedMap,get,10,0
SynchronizedMap,get,100,0
SynchronizedMap,get,1000,0
SynchronizedMap,get,10000,14
SynchronizedMap,get,100000,16
SynchronizedMap,get,1000000,250
SynchronizedMap,get,10000000,2384
SynchronizedMap,remove,1,0
SynchronizedMap,remove,2,0
SynchronizedMap,remove,3,0
SynchronizedMap,remove,10,0
SynchronizedMap,remove,100,0
SynchronizedMap,remove,1000,0
SynchronizedMap,remove,10000,10
SynchronizedMap,remove,100000,22
SynchronizedMap,remove,1000000,200
SynchronizedMap,remove,10000000,2141
